date:1484582703,lat:47.0808282,long:2.4170709;
date:1484585279,lat:47.0808264,long:2.4171536;
date:1484586410,lat:47.0837363,long:2.4072443;
date:1484586732,lat:47.0827274,long:2.4118014;
date:1484587054,lat:47.0972322,long:2.4170081;
date:1484587376,lat:47.1000655,long:2.4126026;
date:1484587821,lat:47.1000655,long:2.4126026;
date:1484588582,lat:47.0975386,long:2.4133016;
date:1484591040,lat:47.0975386,long:2.4133016;
date:1484593807,lat:47.0975015,long:2.4132569;
date:1484594639,lat:47.0975386,long:2.4133016;
