date:1000000,lat:47.098785,long:2.413574;
date:1000015,lat:47.098858,long:2.413735;
date:1000035,lat:47.099083,long:2.413888;
date:1000055,lat:47.099167,long:2.414087;
date:1000075,lat:47.099289,long:2.414234;
date:1000095,lat:47.099403,long:2.414423;
date:1000115,lat:47.099449,long:2.414679;
date:1000135,lat:47.099514,long:2.414895;
date:1000155,lat:47.099674,long:2.415023;
date:1000175,lat:47.099796,long:2.415111;
date:1000195,lat:47.099831,long:2.415253;
date:1000215,lat:47.099983,long:2.415462;
date:1000235,lat:47.099983,long:2.415462;
date:1000255,lat:47.099983,long:2.415462;
date:1000275,lat:47.100166,long:2.415646;
date:1000295,lat:47.100262,long:2.415705;
date:1000315,lat:47.100391,long:2.415649;
date:1000335,lat:47.100521,long:2.415567;
date:1000355,lat:47.100613,long:2.415444;
date:1000375,lat:47.100700,long:2.415338;
date:1000395,lat:47.100800,long:2.415193;
date:1000415,lat:47.100906,long:2.415081;
date:1000435,lat:47.101009,long:2.414943;
date:1000455,lat:47.101128,long:2.414823;
date:1000475,lat:47.101242,long:2.414657;
date:1000495,lat:47.101376,long:2.414589;
date:1000515,lat:47.101505,long:2.414484;
date:1000535,lat:47.101551,long:2.414237;
date:1000555,lat:47.101673,long:2.414004;
date:1000575,lat:47.101818,long:2.413789;
date:1000595,lat:47.101875,long:2.413642;
date:1000615,lat:47.101955,long:2.413497;
date:1000635,lat:47.102051,long:2.413347;
date:1000655,lat:47.102127,long:2.413135;
date:1000675,lat:47.102211,long:2.412995;
date:1000695,lat:47.102283,long:2.412839;
date:1000715,lat:47.102325,long:2.412646;
date:1000735,lat:47.102387,long:2.412494;
date:1000755,lat:47.102447,long:2.412341;
date:1000775,lat:47.102528,long:2.412154;
date:1000795,lat:47.102589,long:2.411976;
date:1000815,lat:47.102654,long:2.411810;
date:1000835,lat:47.102718,long:2.411651;
date:1000855,lat:47.102772,long:2.411487;
date:1000875,lat:47.102711,long:2.411309;
date:1000895,lat:47.102760,long:2.411123;
date:1000915,lat:47.102802,long:2.410934;
date:1000935,lat:47.102867,long:2.410720;
date:1000955,lat:47.102932,long:2.410518;
date:1000975,lat:47.102985,long:2.410336;
date:1000995,lat:47.103035,long:2.410137;
date:1001015,lat:47.103092,long:2.409947;
date:1001035,lat:47.103138,long:2.409749;
date:1001055,lat:47.103203,long:2.409582;
date:1001075,lat:47.103283,long:2.409459;
date:1001095,lat:47.103386,long:2.409545;
date:1001115,lat:47.103516,long:2.409622;
date:1001135,lat:47.103642,long:2.409735;
date:1001155,lat:47.103775,long:2.409859;
date:1001175,lat:47.103916,long:2.409944;
date:1001195,lat:47.104065,long:2.410029;
date:1001215,lat:47.104179,long:2.410144;
date:1001235,lat:47.104313,long:2.410227;
date:1001255,lat:47.104439,long:2.410341;
date:1001275,lat:47.104576,long:2.410424;
date:1001295,lat:47.104698,long:2.410504;
date:1001315,lat:47.104828,long:2.410574;
date:1001335,lat:47.104965,long:2.410663;
date:1001355,lat:47.105110,long:2.410777;
date:1001375,lat:47.105225,long:2.410914;
date:1001395,lat:47.105343,long:2.410993;
date:1001415,lat:47.105480,long:2.411062;
date:1001435,lat:47.105614,long:2.411139;
date:1001455,lat:47.105740,long:2.411215;
date:1001475,lat:47.105858,long:2.411299;
date:1001495,lat:47.105961,long:2.411358;
date:1001515,lat:47.106083,long:2.411431;
date:1001535,lat:47.106083,long:2.411431;
date:1001555,lat:47.106083,long:2.411431;
date:1001575,lat:47.106083,long:2.411431;
date:1001595,lat:47.106266,long:2.411580;
date:1001615,lat:47.106422,long:2.411685;
date:1001635,lat:47.106571,long:2.411764;
date:1001655,lat:47.106697,long:2.411815;
date:1001675,lat:47.106846,long:2.411945;
date:1001695,lat:47.107094,long:2.412160;
date:1001715,lat:47.107212,long:2.412254;
date:1001735,lat:47.107334,long:2.412340;
date:1001755,lat:47.107445,long:2.412409;
date:1001775,lat:47.107552,long:2.412462;
date:1001795,lat:47.107670,long:2.412581;
date:1001815,lat:47.107815,long:2.412586;
date:1001835,lat:47.107910,long:2.412734;
date:1001855,lat:47.108040,long:2.412825;
date:1001875,lat:47.108154,long:2.412867;
date:1001895,lat:47.108261,long:2.412961;
date:1001915,lat:47.108353,long:2.413026;
date:1001935,lat:47.108463,long:2.413091;
date:1001955,lat:47.108543,long:2.413174;
date:1001975,lat:47.108654,long:2.413231;
date:1001995,lat:47.108753,long:2.413285;
date:1002015,lat:47.108856,long:2.413404;
date:1002035,lat:47.108975,long:2.413476;
date:1002055,lat:47.109108,long:2.413570;
date:1002075,lat:47.109226,long:2.413682;
date:1002095,lat:47.109348,long:2.413799;
date:1002115,lat:47.109497,long:2.413839;
date:1002135,lat:47.109615,long:2.413924;
date:1002155,lat:47.109757,long:2.414004;
date:1002175,lat:47.109879,long:2.414101;
