date:1000000,lat:47.0987854,long:2.4135737;
date:1000015,lat:47.0988579,long:2.4137347;
date:1000035,lat:47.0990829,long:2.4138882;
date:1000055,lat:47.0991669,long:2.4140866;
date:1000075,lat:47.0992889,long:2.4142342;
date:1000095,lat:47.0994034,long:2.4144225;
date:1000115,lat:47.0994492,long:2.4146786;
date:1000135,lat:47.099514,long:2.4148946;
date:1000155,lat:47.0996742,long:2.4150226;
date:1000175,lat:47.0997963,long:2.4151108;
date:1000195,lat:47.0998306,long:2.4152529;
date:1000215,lat:47.0999832,long:2.4154615;
date:1000235,lat:47.0999832,long:2.4154615;
date:1000255,lat:47.0999832,long:2.4154615;
date:1000275,lat:47.1001663,long:2.4156456;
date:1000295,lat:47.1002617,long:2.4157052;
date:1000315,lat:47.1003914,long:2.4156487;
date:1000335,lat:47.1005211,long:2.4155667;
date:1000355,lat:47.1006126,long:2.4154441;
date:1000375,lat:47.1007004,long:2.4153376;
date:1000395,lat:47.1007996,long:2.4151926;
date:1000415,lat:47.1009064,long:2.4150815;
date:1000435,lat:47.1010094,long:2.4149432;
date:1000455,lat:47.1011276,long:2.4148228;
date:1000475,lat:47.1012421,long:2.4146571;
date:1000495,lat:47.1013756,long:2.4145892;
date:1000515,lat:47.1015053,long:2.414484;
date:1000535,lat:47.1015511,long:2.4142368;
date:1000555,lat:47.1016731,long:2.4140038;
date:1000575,lat:47.1018181,long:2.413789;
date:1000595,lat:47.1018753,long:2.4136424;
date:1000615,lat:47.1019554,long:2.4134974;
date:1000635,lat:47.1020508,long:2.4133468;
date:1000655,lat:47.1021271,long:2.4131348;
date:1000675,lat:47.102211,long:2.4129946;
date:1000695,lat:47.1022835,long:2.4128392;
date:1000715,lat:47.1023254,long:2.4126461;
date:1000735,lat:47.1023865,long:2.4124939;
date:1000755,lat:47.1024475,long:2.4123406;
date:1000775,lat:47.1025276,long:2.4121542;
date:1000795,lat:47.1025887,long:2.4119759;
date:1000815,lat:47.1026535,long:2.4118102;
date:1000835,lat:47.1027184,long:2.4116511;
date:1000855,lat:47.1027718,long:2.4114869;
date:1000875,lat:47.1027107,long:2.4113088;
date:1000895,lat:47.1027603,long:2.4111226;
date:1000915,lat:47.1028023,long:2.4109335;
date:1000935,lat:47.1028671,long:2.4107199;
date:1000955,lat:47.102932,long:2.4105182;
date:1000975,lat:47.1029854,long:2.4103358;
date:1000995,lat:47.103035,long:2.4101369;
date:1001015,lat:47.1030922,long:2.4099474;
date:1001035,lat:47.103138,long:2.4097493;
date:1001055,lat:47.1032028,long:2.4095824;
date:1001075,lat:47.1032829,long:2.4094586;
date:1001095,lat:47.1033859,long:2.4095447;
date:1001115,lat:47.1035156,long:2.409622;
date:1001135,lat:47.1036415,long:2.4097347;
date:1001155,lat:47.103775,long:2.4098592;
date:1001175,lat:47.1039162,long:2.4099438;
date:1001195,lat:47.1040649,long:2.4100285;
date:1001215,lat:47.1041794,long:2.4101439;
date:1001235,lat:47.1043129,long:2.4102271;
date:1001255,lat:47.1044388,long:2.4103405;
date:1001275,lat:47.1045761,long:2.4104238;
date:1001295,lat:47.1046982,long:2.4105043;
date:1001315,lat:47.1048279,long:2.410574;
date:1001335,lat:47.1049652,long:2.4106634;
date:1001355,lat:47.1051102,long:2.4107771;
date:1001375,lat:47.1052246,long:2.4109144;
date:1001395,lat:47.1053429,long:2.4109933;
date:1001415,lat:47.1054802,long:2.4110622;
date:1001435,lat:47.1056137,long:2.4111392;
date:1001455,lat:47.1057396,long:2.4112151;
date:1001475,lat:47.1058578,long:2.4112985;
date:1001495,lat:47.1059608,long:2.4113581;
date:1001515,lat:47.1060829,long:2.4114311;
date:1001535,lat:47.1060829,long:2.4114311;
date:1001555,lat:47.1060829,long:2.4114311;
date:1001575,lat:47.1060829,long:2.4114311;
date:1001595,lat:47.106266,long:2.4115803;
date:1001615,lat:47.1064224,long:2.4116852;
date:1001635,lat:47.1065712,long:2.4117644;
date:1001655,lat:47.1066971,long:2.4118154;
date:1001675,lat:47.1068459,long:2.4119451;
date:1001695,lat:47.1070938,long:2.4121599;
date:1001715,lat:47.1072121,long:2.4122536;
date:1001735,lat:47.1073341,long:2.4123402;
date:1001755,lat:47.1074448,long:2.4124091;
date:1001775,lat:47.1075516,long:2.412462;
date:1001795,lat:47.1076698,long:2.4125807;
date:1001815,lat:47.1078148,long:2.4125855;
date:1001835,lat:47.1079102,long:2.4127343;
date:1001855,lat:47.1080399,long:2.4128253;
date:1001875,lat:47.1081543,long:2.4128675;
date:1001895,lat:47.1082611,long:2.4129608;
date:1001915,lat:47.1083527,long:2.4130261;
date:1001935,lat:47.1084633,long:2.4130909;
date:1001955,lat:47.1085434,long:2.4131739;
date:1001975,lat:47.108654,long:2.4132307;
date:1001995,lat:47.1087532,long:2.413285;
date:1002015,lat:47.1088562,long:2.4134037;
date:1002035,lat:47.1089745,long:2.4134758;
date:1002055,lat:47.109108,long:2.4135697;
date:1002075,lat:47.1092262,long:2.4136822;
date:1002095,lat:47.1093483,long:2.4137986;
date:1002115,lat:47.1094971,long:2.4138391;
date:1002135,lat:47.1096153,long:2.4139235;
date:1002155,lat:47.1097565,long:2.4140036;
date:1002175,lat:47.1098785,long:2.4141006;
date:1002195,lat:47.109993,long:2.4141765;
date:1002215,lat:47.1101074,long:2.4142623;
date:1002235,lat:47.1102028,long:2.4143324;
date:1002255,lat:47.1102028,long:2.4143324;
date:1002275,lat:47.1102028,long:2.4143324;
date:1002295,lat:47.1102028,long:2.4143324;
date:1002315,lat:47.1102028,long:2.4143324;
date:1002335,lat:47.1102028,long:2.4143324;
date:1002355,lat:47.1102028,long:2.4143324;
date:1002375,lat:47.1105385,long:2.4145181;
date:1002395,lat:47.1107025,long:2.4146416;
date:1002415,lat:47.1108322,long:2.4147177;
date:1002435,lat:47.1109772,long:2.4147942;
date:1002455,lat:47.1111069,long:2.4148827;
date:1002475,lat:47.1112518,long:2.4149833;
date:1002495,lat:47.1113892,long:2.4150794;
date:1002515,lat:47.1115379,long:2.415163;
date:1002535,lat:47.11166,long:2.4152708;
date:1002555,lat:47.1117935,long:2.4153683;
date:1002575,lat:47.1119308,long:2.4154601;
date:1002595,lat:47.1120644,long:2.4155469;
date:1002615,lat:47.1121902,long:2.4156444;
date:1002635,lat:47.1123238,long:2.4157374;
date:1002655,lat:47.112442,long:2.4158244;
date:1002675,lat:47.1125832,long:2.4159098;
date:1002695,lat:47.1127205,long:2.4160101;
date:1002715,lat:47.1128693,long:2.4161029;
date:1002735,lat:47.1130219,long:2.4161975;
date:1002755,lat:47.1131668,long:2.4163015;
