date:1485842915,lat:47.08425389137119,long:2.4106955341994762;
date:1485842925,lat:47.08416345063597,long:2.4106954503804445;
date:1485842935,lat:47.08414534572512,long:2.4107187520712614;
date:1485842945,lat:47.08414534572512,long:2.4107187520712614;
date:1485842955,lat:47.08413813728839,long:2.410716824233532;
date:1485842965,lat:47.08413813728839,long:2.410716824233532;
date:1485842975,lat:47.08413713146001,long:2.410719422623515;
date:1485842985,lat:47.08412522915751,long:2.41070450283587;
date:1485842996,lat:47.08412522915751,long:2.41070450283587;
date:1485843006,lat:47.08412522915751,long:2.41070450283587;
date:1485843016,lat:47.08412522915751,long:2.41070450283587;
date:1485843026,lat:47.08412522915751,long:2.41070450283587;
date:1485843036,lat:47.08412522915751,long:2.41070450283587;
date:1485843046,lat:47.08412522915751,long:2.41070450283587;
date:1485843056,lat:47.08412522915751,long:2.41070450283587;
date:1485843066,lat:47.08412522915751,long:2.41070450283587;
date:1485843076,lat:47.08412522915751,long:2.41070450283587;
date:1485843086,lat:47.08412522915751,long:2.41070450283587;
date:1485843096,lat:47.08412522915751,long:2.41070450283587;
date:1485843106,lat:47.08412522915751,long:2.41070450283587;
date:1485843116,lat:47.08412522915751,long:2.41070450283587;
date:1485843126,lat:47.08412522915751,long:2.41070450283587;
date:1485843136,lat:47.08412522915751,long:2.41070450283587;
date:1485843146,lat:47.08415381144732,long:2.410679357126355;
date:1485843156,lat:47.08414090331644,long:2.410692349076271;
date:1485843166,lat:47.08413239568472,long:2.4107167404145002;
date:1485843176,lat:47.08413218613714,long:2.410718584433198;
date:1485843186,lat:47.08413218613714,long:2.410718584433198;
date:1485843196,lat:47.084109974093735,long:2.410679692402482;
date:1485843206,lat:47.083989274688065,long:2.410572487860918;
date:1485843216,lat:47.083889823406935,long:2.410509791225195;
date:1485843226,lat:47.083921087905765,long:2.4105584900826216;
date:1485843236,lat:47.083921087905765,long:2.4105584900826216;
date:1485843246,lat:47.08391320891678,long:2.410534182563424;
date:1485843257,lat:47.08396282978356,long:2.4105537962168455;
date:1485843267,lat:47.08400025498122,long:2.4105896707624197;
date:1485843277,lat:47.084087217226624,long:2.4106707237660885;
date:1485843287,lat:47.084138095378876,long:2.4107078555971384;
date:1485843297,lat:47.08415020722896,long:2.410746831446886;
date:1485843307,lat:47.08415020722896,long:2.410746831446886;
date:1485843317,lat:47.08415020722896,long:2.410746831446886;
date:1485843327,lat:47.08414622582495,long:2.41071623750031;
date:1485843337,lat:47.084140526130795,long:2.4106967076659203;
date:1485843347,lat:47.084140526130795,long:2.4106967076659203;
date:1485843357,lat:47.084140526130795,long:2.4106967076659203;
date:1485843367,lat:47.08416215144098,long:2.4107820354402065;
date:1485843377,lat:47.0841513806954,long:2.410732666030526;
date:1485843387,lat:47.08416257053614,long:2.410764852538705;
date:1485843397,lat:47.08416257053614,long:2.410764852538705;
date:1485843407,lat:47.084131431765854,long:2.410671394318342;
date:1485843417,lat:47.084126863628626,long:2.4106512777507305;
date:1485843427,lat:47.084127366542816,long:2.4106586538255215;
date:1485843437,lat:47.084127366542816,long:2.4106586538255215;
date:1485843447,lat:47.084127366542816,long:2.4106586538255215;
date:1485843457,lat:47.08411961328238,long:2.410629317164421;
date:1485843467,lat:47.08411961328238,long:2.410629317164421;
date:1485843477,lat:47.0841109380126,long:2.4106009863317013;
date:1485843487,lat:47.08410372957587,long:2.4105768464505672;
date:1485843497,lat:47.08410272374749,long:2.410557484254241;
date:1485843508,lat:47.08410272374749,long:2.410557484254241;
date:1485843518,lat:47.084089228883386,long:2.410572152584791;
date:1485843528,lat:47.084089228883386,long:2.410572152584791;
date:1485843538,lat:47.0841006282717,long:2.4106216058135033;
date:1485843548,lat:47.08410662133247,long:2.410629065707326;
date:1485843558,lat:47.08411299157888,long:2.410641387104988;
date:1485843568,lat:47.08411764353514,long:2.4106625095009804;
date:1485843578,lat:47.08411764353514,long:2.4106625095009804;
date:1485843588,lat:47.08411764353514,long:2.4106625095009804;
date:1485843598,lat:47.08411764353514,long:2.4106625095009804;
date:1485843608,lat:47.08413147367537,long:2.410740712657571;
date:1485843618,lat:47.084110686555505,long:2.4106795247644186;
date:1485843628,lat:47.08409132435918,long:2.410641387104988;
date:1485843638,lat:47.08409941289574,long:2.4106510262936354;
date:1485843648,lat:47.08413583226502,long:2.4107060115784407;
date:1485843658,lat:47.08418193273246,long:2.4108096957206726;
date:1485843668,lat:47.08419857081026,long:2.410825453698635;
date:1485843678,lat:47.08419806789607,long:2.41079930216074;
date:1485843688,lat:47.0841931225732,long:2.41078807041049;
date:1485843698,lat:47.08415557164699,long:2.4106928519904613;
date:1485843708,lat:47.08416416309774,long:2.410694696009159;
date:1485843718,lat:47.08420976065099,long:2.4108050856739283;
date:1485843728,lat:47.08413796965033,long:2.4106361903250217;
date:1485843738,lat:47.0841151708737,long:2.4105761758983135;
date:1485843748,lat:47.0841151708737,long:2.4105761758983135;
date:1485843758,lat:47.0841151708737,long:2.4105761758983135;
date:1485843768,lat:47.084087720140815,long:2.4105466715991497;
date:1485843778,lat:47.084087720140815,long:2.4105466715991497;
date:1485843789,lat:47.084087720140815,long:2.4105466715991497;
date:1485843799,lat:47.08396961912513,long:2.410454722121358;
date:1485843809,lat:47.0840218802914,long:2.410557484254241;
date:1485843819,lat:47.08413889165968,long:2.4106279760599136;
date:1485843829,lat:47.084197690710425,long:2.4106977973133326;
date:1485843839,lat:47.08422535099089,long:2.4106893315911293;
date:1485843849,lat:47.084231888875365,long:2.4106525350362062;
date:1485843859,lat:47.08424316253513,long:2.4106604140251875;
date:1485843869,lat:47.08424035459757,long:2.410661168396473;
date:1485843879,lat:47.08424035459757,long:2.410661168396473;
date:1485843889,lat:47.08423763047904,long:2.410648763179779;
date:1485843899,lat:47.08426390774548,long:2.4106645211577415;
date:1485843909,lat:47.08426390774548,long:2.4106645211577415;
date:1485843919,lat:47.08426390774548,long:2.4106645211577415;
date:1485843929,lat:47.08426390774548,long:2.4106645211577415;
date:1485843939,lat:47.08426390774548,long:2.4106645211577415;
date:1485843949,lat:47.084254142828286,long:2.4106615036726;
date:1485843959,lat:47.084254142828286,long:2.4106615036726;
date:1485843969,lat:47.084254142828286,long:2.4106615036726;
date:1485843979,lat:47.084254142828286,long:2.4106615036726;
date:1485843989,lat:47.084254142828286,long:2.4106615036726;
date:1485843999,lat:47.084254142828286,long:2.4106615036726;
date:1485844009,lat:47.084254142828286,long:2.4106615036726;
date:1485844019,lat:47.084254142828286,long:2.4106615036726;
date:1485844029,lat:47.084254142828286,long:2.4106615036726;
date:1485844039,lat:47.084254142828286,long:2.4106615036726;
date:1485844049,lat:47.084254142828286,long:2.4106615036726;
date:1485844060,lat:47.084254142828286,long:2.4106615036726;
date:1485844070,lat:47.084254142828286,long:2.4106615036726;
date:1485844080,lat:47.084254142828286,long:2.4106615036726;
date:1485844090,lat:47.084254142828286,long:2.4106615036726;
date:1485844100,lat:47.084254142828286,long:2.4106615036726;
date:1485844110,lat:47.084254142828286,long:2.4106615036726;
date:1485844120,lat:47.084254142828286,long:2.4106615036726;
date:1485844130,lat:47.084254142828286,long:2.4106615036726;
date:1485844140,lat:47.084254142828286,long:2.4106615036726;
date:1485844150,lat:47.084254142828286,long:2.4106615036726;
date:1485844160,lat:47.084254142828286,long:2.4106615036726;
date:1485844170,lat:47.084254142828286,long:2.4106615036726;
date:1485844180,lat:47.08423335570842,long:2.410692600533366;
date:1485844190,lat:47.08422941621393,long:2.4107128847390413;
date:1485844200,lat:47.0842232555151,long:2.410738281905651;
date:1485844210,lat:47.0842232555151,long:2.410738281905651;
date:1485844220,lat:47.08423985168338,long:2.4107522796839476;
date:1485844230,lat:47.08423985168338,long:2.4107522796839476;
date:1485844240,lat:47.08424131851643,long:2.4107284750789404;
date:1485844250,lat:47.08424131851643,long:2.4107284750789404;
date:1485844260,lat:47.08424131851643,long:2.4107284750789404;
date:1485844270,lat:47.08422488998622,long:2.410729816183448;
date:1485844280,lat:47.08422488998622,long:2.410729816183448;
date:1485844290,lat:47.08422019612044,long:2.4106921814382076;
date:1485844300,lat:47.08422019612044,long:2.4106921814382076;
date:1485844310,lat:47.08422019612044,long:2.4106921814382076;
date:1485844320,lat:47.08422019612044,long:2.4106921814382076;
date:1485844330,lat:47.08422019612044,long:2.4106921814382076;
date:1485844341,lat:47.08426705095917,long:2.4107110407203436;
date:1485844351,lat:47.08429215475917,long:2.410713890567422;
date:1485844361,lat:47.08430824801326,long:2.4107340909540653;
date:1485844371,lat:47.08431683946401,long:2.410745322704315;
date:1485844381,lat:47.08431683946401,long:2.410745322704315;
date:1485844391,lat:47.08431683946401,long:2.410745322704315;
date:1485844401,lat:47.08431683946401,long:2.410745322704315;
date:1485844411,lat:47.08431683946401,long:2.410745322704315;
date:1485844421,lat:47.08431683946401,long:2.410745322704315;
date:1485844431,lat:47.08428951445967,long:2.410724116489291;
date:1485844441,lat:47.08428951445967,long:2.410724116489291;
date:1485844451,lat:47.08430720027536,long:2.410718919709325;
